W_Vad_Pos,W_Vad_Neg,W_Vad_Neu,W_Vad_Comp,W_BERT_SCORE,W_Polarity,W_Subjectivity,close,change
10.492,0,10864.508,22.0332,8826.446262,0,262.25,46648.87,1
6672.136,0,46616.864,16928.907,45995.17142,21721.3,22239.3,46885.19,1
96.25,0,5676.75,156.25,5160.410659,34.4,2244.15,46932.69,1
0,0,3285,0,2911.227058,0,0,48200,1
84.355,0,587.645,174.559,602.3082491,176.85,228.125,47595.49,0
1037.421,0,10152.579,2550.0412,10276.69562,1164.8,2786.8,47206.38,0
266.034,0,624.966,637.7792,457.6587406,439,439,46491.35,0
284.412,0,61205.588,516.9134,57682.43743,-407.2916667,1751.875,45676.31,0
26.312,0,8607.688,42.2953,8069.014833,50,68.5,46452.77,1
204.794,0,4089.206,450.8621,3218.045982,134.4325758,334.325,45359.42,0
115.216,0,158.784,209.5916,226.5371835,92.85,124.45,46306.32,1
16478.802,0,78950.198,32022.5686,80045.82617,887.8630303,9046.961212,46665.23,1
151.671,2596.209,22306.119,-5625.003,22006.78887,-5145.822545,15034.86952,46819.66,1
514.898,400.946,743558.307,651.9804,692726.6063,366836.025,367207.6917,46528.23,0
1.647,224.27,895.083,-519.4254,599.9901711,-210.2090909,287,46562.55,1
2.608,0,78877.392,9.9984,73789.07915,12.8,12,47072.73,1
218.871,0,1493.129,534.1683,1389.222377,-21.975,109.875,47131.95,1
166.069,0,777.931,519.6428,833.8130258,155.225,437.225,47165.59,1
0,0,980,0,889.4289434,0,0,47354.39,1
2.664,0,5.336,6.7216,5.602367401,4.4,5.2,46920.6,0
1367.793,27.552,4205.655,1785.1784,5112.423743,0,0,46505.2,0
75.54,11.907,53997.553,192.1152,49489.7723,21908.72798,22091.69048,46606.57,1
194.638,159.544,703.818,82.9426,923.7850579,1.8,4.8,46342.59,0
33.8,0,756.2,104.494,733.4970927,212,212,46358.53,1
0,0,4229,0,3942.62896,0,0,46280.19,0
18.408,0,9818.592,36.0789,9105.652594,19.02333333,38.39333333,46064.98,0
0,0,1598,0,1466.953305,0,0,46159.25,1
0,0,0,0,0,0,0,46544.24,1
14.158,1.836,54.006,31.0499,65.72412217,9,9,46642.35,1
84.845,22.152,8197.003,128.3169,7748.823096,-58.35714286,163.3619048,46758.34,1
12.087,1.264,3852.633,21.2562,3575.7535,52.61777778,222.8655556,46655.48,0
2.332,0,486.668,1.6984,439.9704642,233.5,233.5,46701.74,1
0,0,9,0,7.397621512,4.5,4.5,46671.45,0
0,0,811,0,736.2277493,103.9090909,346.3636364,45870.29,0
116.562,0,296.438,180.3161,381.3056881,10.83333333,10.83333333,45696.72,0
613.032,0,5409.968,2064.3336,5184.642448,1126.3,2245.6,45006.43,0
0,2.15,312.85,-4.4475,296.312868,35.41666667,115.5,44379.15,0
674.43,0,6129.57,1615.207,6089.5154,1098,1536.8,44800.98,1
7.412,0,60.588,20.128,60.62291169,0,0,45055.13,1
0,0,500,0,458.9833761,0,0,45144.15,1
627.372,0,3644.628,1883.6336,3870.462753,61,61,45244.86,1
0,0,1877,0,1724.177561,0,750.8,44596.88,0
10129.95,0,42601.05,21787.4721,48695.26645,14792.4,17260.68333,45039.16,1
24.552,283.346,972.102,-216.9664,1187.678706,217.72,571.08,45240,1
195.062,161.384,702.554,78.4548,921.247753,1.642424242,8.703030303,44854.63,0
0,0,0,0,0,0,0,44299.24,0
0,0,0,0,0,0,0,44237.31,0
0,0,0,0,0,0,0,44811.06,1
0,0,0,0,0,0,0,45451.02,1
0,0,0,0,0,0,0,44776.63,0
0,0,0,0,0,0,0,44677.11,0
0,0,0,0,0,0,0,44620.1,0
0,0,0,0,0,0,0,44772.76,1
0,0,0,0,0,0,0,45069.02,1
0,0,0,0,0,0,0,45543.51,1
0,0,0,0,0,0,0,46308.39,1
0,0,0,0,0,0,0,46083.23,0
0,0,0,0,0,0,0,46560.79,1
0,0,0,0,0,0,0,47537.62,1
0,0,0,0,0,0,0,47926.75,1
0,0,0,0,0,0,0,48048.15,1
0,0,0,0,0,0,0,47631.95,0
0,0,0,0,0,0,0,47413.93,0
0,0,0,0,0,0,0,47711.78,1
0,0,0,0,0,0,0,47834.11,1
0,0,0,0,0,0,0,47100,0
0,0,0,0,0,0,0,46889.91,0
0,0,0,0,0,0,0,47754.98,1
0,0,0,0,0,0,0,47981.48,1
0,0,0,0,0,0,0,47990.22,1
0,0,0,0,0,0,0,48524.37,1
0,0,0,0,0,0,0,47965.48,0
0,0,0,0,0,0,0,47624.56,0
0,0,0,0,0,0,0,47350.33,0
0,0,0,0,0,0,0,47299.68,0
0,0,0,0,0,0,0,47436.64,1
0,0,0,0,0,0,0,47374.51,0
0,0,0,0,0,0,0,47180.02,0
0,0,0,0,0,0,0,47409.9,1
0,0,0,0,0,0,0,47442.56,1
0,0,0,0,0,0,0,47650.45,1
0,0,0,0,0,0,0,47746.74,1
0,0,0,0,0,0,0,47934.18,1
0,0,0,0,0,0,0,46636.77,0
0,0,0,0,0,0,0,47136.37,1
0,0,0,0,0,0,0,47658.8,1
0,0,0,0,0,0,0,47796.19,1
0,0,0,0,0,0,0,47312.34,0
0,0,0,0,0,0,0,47359.79,1
0,0,0,0,0,0,0,47674.53,1
0,0,0,0,0,0,0,47943.8,1
0,0,0,0,0,0,0,47937.93,0
0,0,0,0,0,0,0,47395.84,0
0,0,0,0,0,0,0,47562.07,1
0,0,0,0,0,0,0,47711.56,1
0,0,0,0,0,0,0,47910.23,1
0,0,0,0,0,0,0,47923.45,1
0,0,0,0,0,0,0,47999.73,1
0,0,0,0,0,0,0,47974.56,0
0,0,0,0,0,0,0,47832.27,0
0,0,0,0,0,0,0,47074.43,0
0,19.947,9972.053,-54.168,5573.648733,0,3923.6,47544.86,1
